"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 09:29:05 GMT 2021","Sun Aug 08 09:29:05 GMT 2021","154","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
"broken","Sun Aug 08 09:29:04 GMT 2021","Sun Aug 08 09:29:04 GMT 2021","165","","ForumTest","","ForumTest","listElements","listElements()",""
"broken","Sun Aug 08 09:29:05 GMT 2021","Sun Aug 08 09:29:05 GMT 2021","157","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"broken","Sun Aug 08 09:29:04 GMT 2021","Sun Aug 08 09:29:05 GMT 2021","148","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
"broken","Sun Aug 08 09:29:04 GMT 2021","Sun Aug 08 09:29:04 GMT 2021","192","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"broken","Sun Aug 08 09:29:05 GMT 2021","Sun Aug 08 09:29:05 GMT 2021","171","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
"broken","Sun Aug 08 09:29:05 GMT 2021","Sun Aug 08 09:29:05 GMT 2021","152","","LoginTest","","LoginTest","logInTest","logInTest()",""
"broken","Sun Aug 08 09:29:04 GMT 2021","Sun Aug 08 09:29:04 GMT 2021","172","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
"broken","Sun Aug 08 09:29:05 GMT 2021","Sun Aug 08 09:29:05 GMT 2021","171","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"broken","Sun Aug 08 09:28:58 GMT 2021","Sun Aug 08 09:29:04 GMT 2021","6150","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
