"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 17:33:33 GMT 2021","Mon Aug 16 17:33:44 GMT 2021","11356","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
"failed","Mon Aug 16 17:33:13 GMT 2021","Mon Aug 16 17:33:19 GMT 2021","5874","","ForumTest","","ForumTest","listElements","listElements()",""
"passed","Mon Aug 16 17:33:19 GMT 2021","Mon Aug 16 17:33:33 GMT 2021","13855","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"broken","Mon Aug 16 17:33:07 GMT 2021","Mon Aug 16 17:33:13 GMT 2021","5980","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
"passed","Mon Aug 16 17:33:44 GMT 2021","Mon Aug 16 17:33:53 GMT 2021","8509","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"passed","Mon Aug 16 17:34:01 GMT 2021","Mon Aug 16 17:34:10 GMT 2021","8704","","LoginTest","","LoginTest","logInTest","logInTest()",""
"broken","Mon Aug 16 17:34:10 GMT 2021","Mon Aug 16 17:34:19 GMT 2021","8848","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"broken","Mon Aug 16 17:32:54 GMT 2021","Mon Aug 16 17:33:07 GMT 2021","12608","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
"passed","Mon Aug 16 17:34:19 GMT 2021","Mon Aug 16 17:34:24 GMT 2021","5301","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
"passed","Mon Aug 16 17:33:53 GMT 2021","Mon Aug 16 17:34:01 GMT 2021","8360","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
