"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 14:56:38 GMT 2021","Thu Aug 19 14:56:47 GMT 2021","9669","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
"passed","Thu Aug 19 14:56:58 GMT 2021","Thu Aug 19 14:57:03 GMT 2021","4681","","ForumTest","","ForumTest","listElements","listElements()",""
"broken","Thu Aug 19 14:58:53 GMT 2021","Thu Aug 19 14:59:08 GMT 2021","15459","","RepeatedInputTest","","RepeatedInputTest","insertCommentTest","insertCommentTest()",""
"broken","Thu Aug 19 14:57:46 GMT 2021","Thu Aug 19 14:58:01 GMT 2021","15632","","LoginTest","","LoginTest","logInTest","logInTest()",""
"passed","Thu Aug 19 14:57:40 GMT 2021","Thu Aug 19 14:57:46 GMT 2021","5961","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
"broken","Thu Aug 19 14:58:01 GMT 2021","Thu Aug 19 14:58:17 GMT 2021","15489","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"passed","Thu Aug 19 14:57:34 GMT 2021","Thu Aug 19 14:57:40 GMT 2021","5977","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"broken","Thu Aug 19 14:58:37 GMT 2021","Thu Aug 19 14:58:53 GMT 2021","15474","","RepeatedInputTest","","RepeatedInputTest","repeatedCommentTest","repeatedCommentTest()",""
"broken","Thu Aug 19 14:57:03 GMT 2021","Thu Aug 19 14:57:18 GMT 2021","15753","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"passed","Thu Aug 19 14:56:47 GMT 2021","Thu Aug 19 14:56:58 GMT 2021","10391","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
"broken","Thu Aug 19 14:57:18 GMT 2021","Thu Aug 19 14:57:34 GMT 2021","15506","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
"broken","Thu Aug 19 14:58:20 GMT 2021","Thu Aug 19 14:58:37 GMT 2021","17045","","DeleteElementTest","","DeleteElementTest","deleteElementTest","deleteElementTest()",""
"passed","Thu Aug 19 14:58:17 GMT 2021","Thu Aug 19 14:58:20 GMT 2021","3491","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
