"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 13:38:29 GMT 2021","Wed Aug 11 13:38:35 GMT 2021","5670","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
"passed","Wed Aug 11 13:39:20 GMT 2021","Wed Aug 11 13:39:28 GMT 2021","8386","","LoginTest","","LoginTest","logInTest","logInTest()",""
"passed","Wed Aug 11 13:38:54 GMT 2021","Wed Aug 11 13:39:05 GMT 2021","11164","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
"broken","Wed Aug 11 13:39:28 GMT 2021","Wed Aug 11 13:39:37 GMT 2021","8666","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"passed","Wed Aug 11 13:39:12 GMT 2021","Wed Aug 11 13:39:20 GMT 2021","8119","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
"passed","Wed Aug 11 13:39:37 GMT 2021","Wed Aug 11 13:39:42 GMT 2021","5161","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
"passed","Wed Aug 11 13:38:40 GMT 2021","Wed Aug 11 13:38:54 GMT 2021","13288","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"broken","Wed Aug 11 13:38:17 GMT 2021","Wed Aug 11 13:38:29 GMT 2021","12477","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
"broken","Wed Aug 11 13:39:05 GMT 2021","Wed Aug 11 13:39:12 GMT 2021","6765","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"failed","Wed Aug 11 13:38:35 GMT 2021","Wed Aug 11 13:38:40 GMT 2021","5676","","ForumTest","","ForumTest","listElements","listElements()",""
