"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 16 18:51:51 GMT 2021","Mon Aug 16 18:51:51 GMT 2021","145","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
"broken","Mon Aug 16 18:51:50 GMT 2021","Mon Aug 16 18:51:50 GMT 2021","174","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"broken","Mon Aug 16 18:51:50 GMT 2021","Mon Aug 16 18:51:50 GMT 2021","139","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
"broken","Mon Aug 16 18:51:47 GMT 2021","Mon Aug 16 18:51:50 GMT 2021","2891","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
"broken","Mon Aug 16 18:51:51 GMT 2021","Mon Aug 16 18:51:51 GMT 2021","139","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"broken","Mon Aug 16 18:51:51 GMT 2021","Mon Aug 16 18:51:51 GMT 2021","140","","LoginTest","","LoginTest","logInTest","logInTest()",""
"broken","Mon Aug 16 18:51:50 GMT 2021","Mon Aug 16 18:51:50 GMT 2021","156","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
"broken","Mon Aug 16 18:51:50 GMT 2021","Mon Aug 16 18:51:50 GMT 2021","144","","ForumTest","","ForumTest","listElements","listElements()",""
"broken","Mon Aug 16 18:51:50 GMT 2021","Mon Aug 16 18:51:51 GMT 2021","147","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"broken","Mon Aug 16 18:51:51 GMT 2021","Mon Aug 16 18:51:51 GMT 2021","165","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
