"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 11 13:31:49 GMT 2021","Wed Aug 11 13:31:49 GMT 2021","159","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"broken","Wed Aug 11 13:31:49 GMT 2021","Wed Aug 11 13:31:49 GMT 2021","140","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"broken","Wed Aug 11 13:31:41 GMT 2021","Wed Aug 11 13:31:48 GMT 2021","6552","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
"broken","Wed Aug 11 13:31:48 GMT 2021","Wed Aug 11 13:31:48 GMT 2021","174","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
"broken","Wed Aug 11 13:31:49 GMT 2021","Wed Aug 11 13:31:50 GMT 2021","714","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
"broken","Wed Aug 11 13:31:49 GMT 2021","Wed Aug 11 13:31:49 GMT 2021","139","","LoginTest","","LoginTest","logInTest","logInTest()",""
"broken","Wed Aug 11 13:31:49 GMT 2021","Wed Aug 11 13:31:49 GMT 2021","140","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
"broken","Wed Aug 11 13:31:48 GMT 2021","Wed Aug 11 13:31:49 GMT 2021","192","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"broken","Wed Aug 11 13:31:48 GMT 2021","Wed Aug 11 13:31:48 GMT 2021","163","","ForumTest","","ForumTest","listElements","listElements()",""
"broken","Wed Aug 11 13:31:49 GMT 2021","Wed Aug 11 13:31:49 GMT 2021","160","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
