"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 05:26:42 GMT 2021","Thu Aug 19 05:26:52 GMT 2021","10014","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
"passed","Thu Aug 19 05:27:16 GMT 2021","Thu Aug 19 05:27:33 GMT 2021","16367","","RepeatedInputTest","","RepeatedInputTest","repeatedCommentTest","repeatedCommentTest()",""
"passed","Thu Aug 19 05:25:52 GMT 2021","Thu Aug 19 05:26:04 GMT 2021","11395","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
"passed","Thu Aug 19 05:27:01 GMT 2021","Thu Aug 19 05:27:11 GMT 2021","10523","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"passed","Thu Aug 19 05:26:10 GMT 2021","Thu Aug 19 05:26:23 GMT 2021","13154","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"passed","Thu Aug 19 05:26:04 GMT 2021","Thu Aug 19 05:26:10 GMT 2021","6518","","ForumTest","","ForumTest","listElements","listElements()",""
"passed","Thu Aug 19 05:26:23 GMT 2021","Thu Aug 19 05:26:34 GMT 2021","10926","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
"passed","Thu Aug 19 05:26:52 GMT 2021","Thu Aug 19 05:27:01 GMT 2021","8314","","LoginTest","","LoginTest","logInTest","logInTest()",""
"broken","Thu Aug 19 05:25:19 GMT 2021","Thu Aug 19 05:25:52 GMT 2021","33604","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
"passed","Thu Aug 19 05:27:11 GMT 2021","Thu Aug 19 05:27:16 GMT 2021","5060","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
"passed","Thu Aug 19 05:26:34 GMT 2021","Thu Aug 19 05:26:42 GMT 2021","7956","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"broken","Thu Aug 19 05:27:33 GMT 2021","Thu Aug 19 05:27:59 GMT 2021","25841","","RepeatedInputTest","","RepeatedInputTest","insertCommentTest","insertCommentTest()",""
