"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 09:12:00 GMT 2021","Thu Aug 19 09:12:08 GMT 2021","8600","","LoginTest","","LoginTest","logInTest","logInTest()",""
"passed","Thu Aug 19 09:10:25 GMT 2021","Thu Aug 19 09:11:00 GMT 2021","35120","","ForumTest","","ForumTest","scrollBiggerThanActual","scrollBiggerThanActual()",""
"passed","Thu Aug 19 09:11:51 GMT 2021","Thu Aug 19 09:12:00 GMT 2021","8315","","LoginTest","","LoginTest","validEmailInvalidPassword","validEmailInvalidPassword()",""
"passed","Thu Aug 19 09:11:43 GMT 2021","Thu Aug 19 09:11:51 GMT 2021","8391","","LoginTest","","LoginTest","logInNegativeTest","logInNegativeTest()",""
"passed","Thu Aug 19 09:11:18 GMT 2021","Thu Aug 19 09:11:32 GMT 2021","13569","","LogOutTest","","LogOutTest","navigateBackTest","navigateBackTest()",""
"passed","Thu Aug 19 09:11:32 GMT 2021","Thu Aug 19 09:11:43 GMT 2021","11066","","LogOutTest","","LogOutTest","logOutTest","logOutTest()",""
"passed","Thu Aug 19 09:12:08 GMT 2021","Thu Aug 19 09:12:21 GMT 2021","12745","","SettingsPageTest","","SettingsPageTest","testInputField","testInputField()",""
"broken","Thu Aug 19 09:13:24 GMT 2021","Thu Aug 19 09:13:45 GMT 2021","21251","","RepeatedInputTest","","RepeatedInputTest","insertCommentTest","insertCommentTest()",""
"broken","Thu Aug 19 09:12:55 GMT 2021","Thu Aug 19 09:13:24 GMT 2021","28235","","RepeatedInputTest","","RepeatedInputTest","repeatedCommentTest","repeatedCommentTest()",""
"passed","Thu Aug 19 09:11:12 GMT 2021","Thu Aug 19 09:11:18 GMT 2021","6627","","ForumTest","","ForumTest","listElements","listElements()",""
"passed","Thu Aug 19 09:12:21 GMT 2021","Thu Aug 19 09:12:26 GMT 2021","5187","","PrivacyStatementTest","","PrivacyStatementTest","testPrivacyStatementContent","testPrivacyStatementContent()",""
"passed","Thu Aug 19 09:12:26 GMT 2021","Thu Aug 19 09:12:55 GMT 2021","28988","","DeleteElementTest","","DeleteElementTest","deleteElementTest","deleteElementTest()",""
"passed","Thu Aug 19 09:11:00 GMT 2021","Thu Aug 19 09:11:12 GMT 2021","11942","","ForumTest","","ForumTest","scrollThreeTimesTest","scrollThreeTimesTest()",""
